Local time,Classes
2023-05-07 06:31:12 PM,closed eyes
2023-05-07 06:31:15 PM,mobile
2023-05-07 06:31:16 PM,mobile
2023-05-07 06:31:17 PM,mobile
2023-05-07 06:48:22 PM,closed eyes
2023-05-07 06:48:24 PM,closed eyes
2023-05-07 06:48:26 PM,yawning
2023-05-07 06:48:27 PM,yawning
2023-05-07 06:52:46 PM,closed eyes
2023-05-07 06:52:51 PM,yawning
2023-05-07 06:52:52 PM,yawning
2023-05-07 06:52:56 PM,mobile
2023-05-07 06:52:56 PM,mobile
2023-05-07 06:52:57 PM,mobile
2023-05-07 06:52:58 PM,mobile
2023-05-07 06:53:03 PM,closed eyes
2023-05-07 08:02:37 PM
2023-05-07 08:02:41 PM
2023-05-07 08:02:42 PM
2023-05-07 08:02:44 PM
2023-05-07 08:02:45 PM
2023-05-07 08:03:46 PM,[          3]
2023-05-07 08:03:48 PM,[          3]
2023-05-07 08:03:49 PM,[          3]
2023-05-07 08:03:50 PM,[          3]
2023-05-07 08:03:51 PM,[          3]
2023-05-07 08:03:52 PM,[          3]
2023-05-07 08:03:53 PM,[          3]
2023-05-07 08:03:54 PM,[          3]
2023-05-07 08:03:54 PM,[          3]
2023-05-07 08:04:07 PM,[          1]
2023-05-07 08:04:08 PM,[          1]
2023-05-07 08:04:09 PM,[          1]
2023-05-07 08:04:09 PM,[          1]
2023-05-07 08:04:10 PM,[          1]
2023-05-07 08:04:12 PM,[          0]
2023-05-07 08:04:12 PM,[          0]
